Region,Elevation ,Eofbase,DOC
Sierra Nevada,3475,3275,2.3
Sierra Nevada,3463,3263,1.9
Sierra Nevada,3440,3240,2.5
Sierra Nevada,3431,3231,1.5
Sierra Nevada,3355,3155,1.2
Sierra Nevada,3355,3155,1.2
Sierra Nevada,3350,3150,1.4
Sierra Nevada,3347,3147,1.1
Sierra Nevada,3280,3080,1.1
Sierra Nevada,3268,3068,1.4
Sierra Nevada,3258,3058,0.9
Sierra Nevada,3251,3051,1.6
Sierra Nevada,3220,3020,1.9
Sierra Nevada,3197,2997,1.1
Sierra Nevada,3194,2994,1.2
Sierra Nevada,3180,2980,2
Sierra Nevada,3180,2980,2.3
Sierra Nevada,3178,2978,1.2
Sierra Nevada,3170,2970,3.9
Sierra Nevada,3160,2960,1.3
Sierra Nevada,3155,2955,1.3
Sierra Nevada,3152,2952,1
Sierra Nevada,3145,2945,1.1
Sierra Nevada,3145,2945,1
Sierra Nevada,3131,2931,3.5
Sierra Nevada,3108,2908,3.8
Sierra Nevada,3105,2905,2.4
Sierra Nevada,3067,2867,1
Sierra Nevada,3054,2854,1
Sierra Nevada,2996,2796,1.2
Sierra Nevada,2978,2778,1.2
Sierra Nevada,2972,2772,0.9
Sierra Nevada,2938,2738,1.566666667
Sierra Nevada,2921,2721,3.3
Sierra Nevada,2905,2705,0.9
Sierra Nevada,2897,2697,1.2
Sierra Nevada,2896,2696,1
Sierra Nevada,2816,2616,2.6
Sierra Nevada,2756,2556,1.5
Sierra Nevada,2714,2514,2.2
Sierra Nevada,2694,2494,2
Sierra Nevada,2595,2395,0
Sierra Nevada,2595,2395,3
Sierra Nevada,2520,2320,0.8
Sierra Nevada,2424,2224,3.3
Sierra Nevada,2405,2205,1.2
Sierra Nevada,2379,2179,5.4
Sierra Nevada,2313,2113,4.1
Sierra Nevada,2309,2109,1.5
Sierra Nevada,2309,2109,5.6
Sierra Nevada,2303,2103,4
Sierra Nevada,2213,2013,6.4
Sierra Nevada,2213,2013,6.4
