lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
1343,Merle,DES NF,24.3,Present,Stocked,1607,6.4,3.2,7,1
1345,East Hanks,DES NF,14.3,Present,Stocked,1631,9.2,1.8,4,1
1346,Warren,MH NF,17.3,Present,Stocked,1138,2.4,2.02,6,1
1347,Lower Twin2,MH NF,16.9,Present,Stocked,1152,5.5,7.69,5,1
1348,Comma,DES NF,24.5,Present,Stocked,1451,1.8,6.9,5,1
1349,East,DES NF,12.4,Present,Stocked,1942,54.9,422.7,8,1
1350,Puppy,DES NF,21.6,Present,Stocked,1584,4.6,3.8,6,1
1351,Tranquil,DES NF,18,Present,Stocked,1738,3.7,1.2,3,1
1352,Surprise2,GP NF,6.5,Absent,No Record,1274,3.4,1.4,5,0
1353,Ottertail,MH NF,19.6,Present,Stocked,1156,0.9,1.22,9,1
1354,South Teddy,DES NF,21.3,Present,Stocked,1494,3.1,5.3,5,1
1355,Lady,DES NF,21,Present,Stocked,1738,4.3,0.7,6,1
1356,Middle Hanks,DES NF,13.8,Present,Stocked,1646,6.1,2.4,5,1
1357,Looking Glass,GP NF,7.5,Present,Stocked,1701,5.5,0.4,6,1
1360,Forlorn#4,GP NF,24.5,Present,Stocked,1128,2.2,1.3,2,1
1361,Rainy,MH NF,9,Present,Stocked,1250,4,3.24,4,1
1362,Jean,MH NF,14.6,Present,Stocked,1634,6.1,2.02,4,1
1363,Forlorn,GP NF,20.2,Present,Stocked,1122,6.4,5.1,6,1
1364,Umtax,GP NF,20,Present,Stocked,1220,1.8,0.6,6,1
1365,Charlton,DES NF,18.3,Present,Stocked,1735,29,63.2,3,1
1367,Comcomly,GP NF,14.8,Present,Stocked,1299,2.3,1.3,6,1
1368,Basin#4,GP NF,12,Present,Stocked,1293,3.4,0.7,6,1
1370,Red Slide,DES NF,22.1,Present,Stocked,1732,5.5,0.7,5,1
1371,Kershaw,DES NF,18.9,Present,Stocked,1643,4,6.1,5,1
1372,Blue,GP NF,14.5,Present,Stocked,1415,14,5.1,5,1
1373,Little Boulder,MH NF,18.7,Present,Stocked,1402,1.3,2.43,4,1
1374,Middle Snowshoe,DES NF,21.7,Present,Stocked,1540,4.9,1.5,8,1
1375,Cultus,DES NF,17.8,Present,Stocked,1418,64.3,317.8,7,1
1377,Frog,MH NF,19.9,Present,Stocked,1183,14,7.69,5,1
1378,Lindick,DES NF,19.2,Present,Stocked,1873,7.6,2.7,5,1
1379,Paulina,DES NF,12.9,Present,Stocked,1930,76.2,619.8,6.666666667,1
1380,Simon,DES NF,18,Present,Stocked,1738,4.1,0.7,3,1
1381,Hidden3,GP NF,16.8,Present,Stocked,1244,2.3,1,9,1
1382,Stormy,DES NF,19.6,Present,Stocked,1843,5.5,0.9,4,1
1383,Lemish,DES NF,17.6,Present,Stocked,1572,3.4,6.5,6.5,1
1384,Copper,DES NF,19.8,Present,Stocked,1738,4.1,0.4,5,1
1388,Little Steamboat,GP NF,15.5,Present,Stocked,1195,2.1,1.4,2,1
1389,Sahalee Tyee,GP NF,11.1,Present,Stocked,1195,22.6,2.1,2,1
1391,West Hanks,DES NF,19,Present,Stocked,1670,3.7,6.1,3,1
1392,Forlorn#3,GP NF,21,Present,Stocked,1128,1.2,2.7,2,1
1393,Badger,MH NF,13.9,Present,Stocked,1482,13.1,18.22,8,1
1395,Josephine,DES NF,20.9,Present,Stocked,1833,2.9,0.9,3,1
1396,Toke Tie,GP NF,22,Present,Stocked,1439,3.4,1.1,4,1
1397,Little Cultus,DES NF,17.5,Present,Stocked,1451,16.8,63.2,6,1
1398,Tombstone,GP NF,21,Present,Stocked,1390,3.4,0.6,5,1
1399,Little Rock,GP NF,10.5,Present,Stocked,1451,2.1,0.4,5,1
1400,Long3,DES NF,23.2,Present,Stocked,1575,2.7,3.2,4,1
